GISJOIN,GEOGYEAR,ZCTAA,CL8AA1990,CL8AA1990L,CL8AA1990U,CL8AA2000,CL8AA2000L,CL8AA2000U,CL8AA2010,CL8AA2020,CL8AA2020L,CL8AA2020U
"G54732","2010","54732",2939.67,2620,3117,2951.04,2790,3036,2924,2956.51,2884,3045
"G54733","2010","54733",1325.85,1266,1452,1312.88,1257,1363,1340,1221.00,1215,1256
"G54734","2010","54734",817.12,791,900,818.00,818,818,856,837.00,837,837
"G54736","2010","54736",4018.89,3914,4134,4178.46,4073,4179,4127,4049.23,4007,4065
"G54737","2010","54737",485.93,412,540,486.00,486,501,487,461.00,461,489
"G54738","2010","54738",2585.80,2495,2618,2758.86,2752,2764,3149,3712.18,3690,3716
"G54739","2010","54739",3356.71,3150,3587,3893.30,3809,4017,4950,5334.71,5143,5375
"G54740","2010","54740",2114.38,1959,2314,2155.71,2137,2245,2056,2046.00,1989,2066
"G54741","2010","54741",1402.15,1314,1494,1530.08,1463,1610,1577,1735.23,1630,1860
"G54742","2010","54742",3719.75,3476,3948,4231.94,4065,4323,4459,4763.53,4715,4876
"G54745","2010","54745",2015.83,1922,2224,2181.79,2147,2280,2261,2230.30,2171,2278
"G54746","2010","54746",647.49,624,684,706.00,706,706,746,670.14,649,672
"G54747","2010","54747",2426.92,2193,2720,2462.00,2415,2468,2534,2575.71,2510,2613
"G54748","2010","54748",1118.46,877,1207,1167.81,1040,1218,1217,1220.92,1108,1254
"G54749","2010","54749",974.52,870,1099,1016.58,939,1113,1231,1192.83,1151,1249
"G54750","2010","54750",1155.27,1114,1198,1082.00,1045,1092,1062,1040.98,970,1041
"G54751","2010","54751",21080.56,20679,21542,23507.19,23294,23842,25642,26732.93,26509,27044
"G54754","2010","54754",1361.33,1298,1459,1524.63,1456,1667,1552,1706.47,1620,1878
"G54755","2010","54755",6527.75,6187,6731,6964.73,6828,7057,7502,7563.14,7457,7587
"G54756","2010","54756",948.00,854,1105,915.82,899,1017,916,817.77,781,850
"G54757","2010","54757",2769.28,2588,3022,3051.21,3025,3090,3314,3484.30,3400,3534
"G54758","2010","54758",4080.30,3898,4436,4478.36,4415,4575,4626,4813.86,4714,5007
"G54759","2010","54759",1547.51,1495,1577,1502.20,1501,1506,1533,1459.31,1435,1494
"G54760","2010","54760",190.00,51,190,245.00,245,245,255,236.48,106,239
"G54761","2010","54761",1193.09,1132,1251,1178.06,1154,1202,1216,1191.00,1171,1191
"G54762","2010","54762",1236.73,1192,1276,1342.15,1339,1350,1246,1353.00,1345,1385
"G54763","2010","54763",1113.94,1055,1178,1070.11,1050,1075,1134,1083.83,1035,1084
